Epoch 1 Average Loss: 1.4399, Precision: 1.0000, Recall: 0.0564, F1: 0.1068
Epoch 2 Average Loss: 0.5947, Precision: 1.0000, Recall: 0.1324, F1: 0.2338
Epoch 3 Average Loss: 0.4608, Precision: 1.0000, Recall: 0.1819, F1: 0.3078
Epoch 4 Average Loss: 0.3830, Precision: 1.0000, Recall: 0.2080, F1: 0.3444
Epoch 5 Average Loss: 0.3359, Precision: 1.0000, Recall: 0.2325, F1: 0.3773
Epoch 6 Average Loss: 0.3051, Precision: 1.0000, Recall: 0.2675, F1: 0.4221
Epoch 7 Average Loss: 0.2834, Precision: 1.0000, Recall: 0.2914, F1: 0.4513
Epoch 8 Average Loss: 0.2600, Precision: 1.0000, Recall: 0.3019, F1: 0.4637
Epoch 9 Average Loss: 0.2452, Precision: 1.0000, Recall: 0.3365, F1: 0.5036
Epoch 10 Average Loss: 0.2333, Precision: 1.0000, Recall: 0.3616, F1: 0.5311
Epoch 11 Average Loss: 0.2231, Precision: 1.0000, Recall: 0.3685, F1: 0.5385
Epoch 12 Average Loss: 0.2109, Precision: 1.0000, Recall: 0.3921, F1: 0.5634
Epoch 13 Average Loss: 0.2049, Precision: 1.0000, Recall: 0.3932, F1: 0.5645
Epoch 14 Average Loss: 0.1982, Precision: 1.0000, Recall: 0.4183, F1: 0.5898
Epoch 15 Average Loss: 0.1893, Precision: 1.0000, Recall: 0.4290, F1: 0.6004
Epoch 16 Average Loss: 0.1847, Precision: 1.0000, Recall: 0.4378, F1: 0.6090
Epoch 17 Average Loss: 0.1785, Precision: 1.0000, Recall: 0.4518, F1: 0.6224
Epoch 18 Average Loss: 0.1717, Precision: 1.0000, Recall: 0.4631, F1: 0.6331
Epoch 19 Average Loss: 0.1669, Precision: 1.0000, Recall: 0.4752, F1: 0.6443
Epoch 20 Average Loss: 0.1634, Precision: 1.0000, Recall: 0.4802, F1: 0.6488
Epoch 21 Average Loss: 0.1577, Precision: 1.0000, Recall: 0.4895, F1: 0.6573
Epoch 22 Average Loss: 0.1503, Precision: 1.0000, Recall: 0.4945, F1: 0.6618
Epoch 23 Average Loss: 0.1515, Precision: 1.0000, Recall: 0.4942, F1: 0.6615
Epoch 24 Average Loss: 0.1461, Precision: 1.0000, Recall: 0.5044, F1: 0.6706
Epoch 25 Average Loss: 0.1424, Precision: 1.0000, Recall: 0.5149, F1: 0.6797
Epoch 26 Average Loss: 0.1389, Precision: 1.0000, Recall: 0.5217, F1: 0.6857
Epoch 27 Average Loss: 0.1372, Precision: 1.0000, Recall: 0.5138, F1: 0.6788
Epoch 28 Average Loss: 0.1327, Precision: 1.0000, Recall: 0.5347, F1: 0.6968
Epoch 29 Average Loss: 0.1293, Precision: 1.0000, Recall: 0.5338, F1: 0.6961
Epoch 30 Average Loss: 0.1249, Precision: 1.0000, Recall: 0.5382, F1: 0.6998
Epoch 31 Average Loss: 0.1254, Precision: 1.0000, Recall: 0.5424, F1: 0.7033
Epoch 32 Average Loss: 0.1207, Precision: 1.0000, Recall: 0.5418, F1: 0.7028
Epoch 33 Average Loss: 0.1179, Precision: 1.0000, Recall: 0.5553, F1: 0.7141
Epoch 34 Average Loss: 0.1163, Precision: 1.0000, Recall: 0.5713, F1: 0.7271
Epoch 35 Average Loss: 0.1146, Precision: 1.0000, Recall: 0.5732, F1: 0.7287
Epoch 36 Average Loss: 0.1125, Precision: 1.0000, Recall: 0.5748, F1: 0.7300
Epoch 37 Average Loss: 0.1078, Precision: 1.0000, Recall: 0.5751, F1: 0.7303
Epoch 38 Average Loss: 0.1050, Precision: 1.0000, Recall: 0.5842, F1: 0.7375
Epoch 39 Average Loss: 0.1018, Precision: 1.0000, Recall: 0.5960, F1: 0.7469
Epoch 40 Average Loss: 0.1024, Precision: 1.0000, Recall: 0.5985, F1: 0.7488
Epoch 41 Average Loss: 0.1006, Precision: 1.0000, Recall: 0.5996, F1: 0.7497
Epoch 42 Average Loss: 0.0994, Precision: 1.0000, Recall: 0.5974, F1: 0.7480
Epoch 43 Average Loss: 0.0998, Precision: 1.0000, Recall: 0.5916, F1: 0.7434
Epoch 44 Average Loss: 0.0939, Precision: 1.0000, Recall: 0.6081, F1: 0.7563
Epoch 45 Average Loss: 0.0915, Precision: 1.0000, Recall: 0.6208, F1: 0.7660
Epoch 46 Average Loss: 0.0915, Precision: 1.0000, Recall: 0.5958, F1: 0.7467
Epoch 47 Average Loss: 0.0890, Precision: 1.0000, Recall: 0.6018, F1: 0.7514
Epoch 48 Average Loss: 0.0869, Precision: 1.0000, Recall: 0.6150, F1: 0.7616
Epoch 49 Average Loss: 0.0866, Precision: 1.0000, Recall: 0.6007, F1: 0.7506
Epoch 50 Average Loss: 0.0852, Precision: 1.0000, Recall: 0.6150, F1: 0.7616
