Epoch 1 Average Loss: 1.2072, Precision: 1.0000, Recall: 0.0726, F1: 0.1355
Epoch 2 Average Loss: 0.4315, Precision: 1.0000, Recall: 0.1354, F1: 0.2385
Epoch 3 Average Loss: 0.3344, Precision: 1.0000, Recall: 0.1731, F1: 0.2951
Epoch 4 Average Loss: 0.2838, Precision: 1.0000, Recall: 0.1852, F1: 0.3125
Epoch 5 Average Loss: 0.2531, Precision: 1.0000, Recall: 0.2069, F1: 0.3429
Epoch 6 Average Loss: 0.2273, Precision: 1.0000, Recall: 0.2105, F1: 0.3478
Epoch 7 Average Loss: 0.2127, Precision: 1.0000, Recall: 0.2281, F1: 0.3715
Epoch 8 Average Loss: 0.1957, Precision: 1.0000, Recall: 0.2331, F1: 0.3780
Epoch 9 Average Loss: 0.1845, Precision: 1.0000, Recall: 0.2617, F1: 0.4148
Epoch 10 Average Loss: 0.1778, Precision: 1.0000, Recall: 0.2078, F1: 0.3440
Epoch 11 Average Loss: 0.1671, Precision: 1.0000, Recall: 0.1701, F1: 0.2907
Epoch 12 Average Loss: 0.1595, Precision: 1.0000, Recall: 0.1566, F1: 0.2708
Epoch 13 Average Loss: 0.1552, Precision: 1.0000, Recall: 0.2312, F1: 0.3755
Epoch 14 Average Loss: 0.1461, Precision: 1.0000, Recall: 0.1995, F1: 0.3326
Epoch 15 Average Loss: 0.1413, Precision: 1.0000, Recall: 0.1970, F1: 0.3292
Epoch 16 Average Loss: 0.1357, Precision: 1.0000, Recall: 0.1885, F1: 0.3172
Epoch 17 Average Loss: 0.1300, Precision: 1.0000, Recall: 0.2196, F1: 0.3601
Epoch 18 Average Loss: 0.1269, Precision: 1.0000, Recall: 0.1863, F1: 0.3141
Epoch 19 Average Loss: 0.1218, Precision: 1.0000, Recall: 0.1530, F1: 0.2654
Epoch 20 Average Loss: 0.1176, Precision: 1.0000, Recall: 0.1940, F1: 0.3250
Epoch 21 Average Loss: 0.1151, Precision: 1.0000, Recall: 0.1935, F1: 0.3242
Epoch 22 Average Loss: 0.1113, Precision: 1.0000, Recall: 0.2223, F1: 0.3638
Epoch 23 Average Loss: 0.1073, Precision: 1.0000, Recall: 0.2069, F1: 0.3429
Epoch 24 Average Loss: 0.1064, Precision: 1.0000, Recall: 0.1929, F1: 0.3234
Epoch 25 Average Loss: 0.1031, Precision: 1.0000, Recall: 0.2064, F1: 0.3422
Epoch 26 Average Loss: 0.0990, Precision: 1.0000, Recall: 0.1973, F1: 0.3296
Epoch 27 Average Loss: 0.0948, Precision: 1.0000, Recall: 0.2243, F1: 0.3664
Epoch 28 Average Loss: 0.0921, Precision: 1.0000, Recall: 0.1929, F1: 0.3234
Epoch 29 Average Loss: 0.0904, Precision: 1.0000, Recall: 0.2023, F1: 0.3365
Epoch 30 Average Loss: 0.0884, Precision: 1.0000, Recall: 0.1621, F1: 0.2789
Epoch 31 Average Loss: 0.0868, Precision: 1.0000, Recall: 0.2003, F1: 0.3338
Epoch 32 Average Loss: 0.0824, Precision: 1.0000, Recall: 0.2036, F1: 0.3384
Epoch 33 Average Loss: 0.0809, Precision: 1.0000, Recall: 0.2843, F1: 0.4427
Epoch 34 Average Loss: 0.0794, Precision: 1.0000, Recall: 0.2273, F1: 0.3704
Epoch 35 Average Loss: 0.0766, Precision: 1.0000, Recall: 0.2867, F1: 0.4457
Epoch 36 Average Loss: 0.0747, Precision: 1.0000, Recall: 0.3088, F1: 0.4718
Epoch 37 Average Loss: 0.0731, Precision: 1.0000, Recall: 0.3214, F1: 0.4865
Epoch 38 Average Loss: 0.0710, Precision: 1.0000, Recall: 0.2686, F1: 0.4234
Epoch 39 Average Loss: 0.0673, Precision: 1.0000, Recall: 0.2477, F1: 0.3970
Epoch 40 Average Loss: 0.0689, Precision: 1.0000, Recall: 0.2378, F1: 0.3842
Epoch 41 Average Loss: 0.0651, Precision: 1.0000, Recall: 0.2251, F1: 0.3675
Epoch 42 Average Loss: 0.0639, Precision: 1.0000, Recall: 0.1637, F1: 0.2814
Epoch 43 Average Loss: 0.0619, Precision: 1.0000, Recall: 0.1646, F1: 0.2826
Epoch 44 Average Loss: 0.0599, Precision: 1.0000, Recall: 0.1668, F1: 0.2858
Epoch 45 Average Loss: 0.0595, Precision: 1.0000, Recall: 0.1701, F1: 0.2907
Epoch 46 Average Loss: 0.0595, Precision: 1.0000, Recall: 0.2075, F1: 0.3437
Epoch 47 Average Loss: 0.0558, Precision: 1.0000, Recall: 0.1654, F1: 0.2838
Epoch 48 Average Loss: 0.0559, Precision: 1.0000, Recall: 0.1794, F1: 0.3042
Epoch 49 Average Loss: 0.0547, Precision: 1.0000, Recall: 0.2677, F1: 0.4224
Epoch 50 Average Loss: 0.0541, Precision: 1.0000, Recall: 0.2633, F1: 0.4169
