Epoch 1 Average Loss: 2.4570, Precision: 1.0000, Recall: 0.0195, F1: 0.0383
Epoch 2 Average Loss: 0.9666, Precision: 1.0000, Recall: 0.0883, F1: 0.1623
Epoch 3 Average Loss: 0.7614, Precision: 1.0000, Recall: 0.1263, F1: 0.2243
Epoch 4 Average Loss: 0.6471, Precision: 1.0000, Recall: 0.1491, F1: 0.2596
Epoch 5 Average Loss: 0.5751, Precision: 1.0000, Recall: 0.1703, F1: 0.2911
Epoch 6 Average Loss: 0.5254, Precision: 1.0000, Recall: 0.1921, F1: 0.3223
Epoch 7 Average Loss: 0.4797, Precision: 1.0000, Recall: 0.2009, F1: 0.3346
Epoch 8 Average Loss: 0.4526, Precision: 1.0000, Recall: 0.2155, F1: 0.3545
Epoch 9 Average Loss: 0.4237, Precision: 1.0000, Recall: 0.2314, F1: 0.3759
Epoch 10 Average Loss: 0.4024, Precision: 1.0000, Recall: 0.2372, F1: 0.3835
Epoch 11 Average Loss: 0.3785, Precision: 1.0000, Recall: 0.2559, F1: 0.4075
Epoch 12 Average Loss: 0.3635, Precision: 1.0000, Recall: 0.2697, F1: 0.4248
Epoch 13 Average Loss: 0.3488, Precision: 1.0000, Recall: 0.2859, F1: 0.4447
Epoch 14 Average Loss: 0.3311, Precision: 1.0000, Recall: 0.3010, F1: 0.4628
Epoch 15 Average Loss: 0.3295, Precision: 1.0000, Recall: 0.2997, F1: 0.4611
Epoch 16 Average Loss: 0.3097, Precision: 1.0000, Recall: 0.3211, F1: 0.4861
Epoch 17 Average Loss: 0.3065, Precision: 1.0000, Recall: 0.3209, F1: 0.4858
Epoch 18 Average Loss: 0.3030, Precision: 1.0000, Recall: 0.3308, F1: 0.4971
Epoch 19 Average Loss: 0.2935, Precision: 1.0000, Recall: 0.3445, F1: 0.5125
Epoch 20 Average Loss: 0.2871, Precision: 1.0000, Recall: 0.3396, F1: 0.5070
Epoch 21 Average Loss: 0.2798, Precision: 1.0000, Recall: 0.3481, F1: 0.5164
Epoch 22 Average Loss: 0.2731, Precision: 1.0000, Recall: 0.3500, F1: 0.5185
Epoch 23 Average Loss: 0.2683, Precision: 1.0000, Recall: 0.3572, F1: 0.5264
Epoch 24 Average Loss: 0.2657, Precision: 1.0000, Recall: 0.3660, F1: 0.5359
Epoch 25 Average Loss: 0.2565, Precision: 1.0000, Recall: 0.3770, F1: 0.5476
Epoch 26 Average Loss: 0.2581, Precision: 1.0000, Recall: 0.3764, F1: 0.5470
Epoch 27 Average Loss: 0.2506, Precision: 1.0000, Recall: 0.3864, F1: 0.5574
Epoch 28 Average Loss: 0.2448, Precision: 1.0000, Recall: 0.3998, F1: 0.5713
Epoch 29 Average Loss: 0.2413, Precision: 1.0000, Recall: 0.4004, F1: 0.5718
Epoch 30 Average Loss: 0.2445, Precision: 1.0000, Recall: 0.3916, F1: 0.5628
Epoch 31 Average Loss: 0.2344, Precision: 1.0000, Recall: 0.4034, F1: 0.5749
Epoch 32 Average Loss: 0.2305, Precision: 1.0000, Recall: 0.4048, F1: 0.5763
Epoch 33 Average Loss: 0.2245, Precision: 1.0000, Recall: 0.4210, F1: 0.5926
Epoch 34 Average Loss: 0.2230, Precision: 1.0000, Recall: 0.4180, F1: 0.5896
Epoch 35 Average Loss: 0.2194, Precision: 1.0000, Recall: 0.4290, F1: 0.6004
Epoch 36 Average Loss: 0.2172, Precision: 1.0000, Recall: 0.4202, F1: 0.5917
Epoch 37 Average Loss: 0.2163, Precision: 1.0000, Recall: 0.4202, F1: 0.5917
Epoch 38 Average Loss: 0.2106, Precision: 1.0000, Recall: 0.4279, F1: 0.5993
Epoch 39 Average Loss: 0.2075, Precision: 1.0000, Recall: 0.4367, F1: 0.6079
Epoch 40 Average Loss: 0.2079, Precision: 1.0000, Recall: 0.4301, F1: 0.6015
Epoch 41 Average Loss: 0.2046, Precision: 1.0000, Recall: 0.4389, F1: 0.6101
Epoch 42 Average Loss: 0.2019, Precision: 1.0000, Recall: 0.4455, F1: 0.6164
Epoch 43 Average Loss: 0.2023, Precision: 1.0000, Recall: 0.4458, F1: 0.6167
Epoch 44 Average Loss: 0.1959, Precision: 1.0000, Recall: 0.4505, F1: 0.6211
Epoch 45 Average Loss: 0.1960, Precision: 1.0000, Recall: 0.4411, F1: 0.6122
Epoch 46 Average Loss: 0.1937, Precision: 1.0000, Recall: 0.4554, F1: 0.6258
Epoch 47 Average Loss: 0.1936, Precision: 1.0000, Recall: 0.4631, F1: 0.6331
Epoch 48 Average Loss: 0.1910, Precision: 1.0000, Recall: 0.4642, F1: 0.6341
Epoch 49 Average Loss: 0.1876, Precision: 1.0000, Recall: 0.4631, F1: 0.6331
Epoch 50 Average Loss: 0.1894, Precision: 1.0000, Recall: 0.4659, F1: 0.6356
