Epoch 1 Average Loss: 3.3859, Precision: 0.0000, Recall: 0.0000, F1: 0.0000
Epoch 2 Average Loss: 1.3731, Precision: 1.0000, Recall: 0.0210, F1: 0.0411
Epoch 3 Average Loss: 1.0172, Precision: 1.0000, Recall: 0.0453, F1: 0.0866
Epoch 4 Average Loss: 0.8528, Precision: 1.0000, Recall: 0.0728, F1: 0.1358
Epoch 5 Average Loss: 0.7694, Precision: 1.0000, Recall: 0.0784, F1: 0.1453
Epoch 6 Average Loss: 0.6837, Precision: 1.0000, Recall: 0.0949, F1: 0.1734
Epoch 7 Average Loss: 0.6410, Precision: 1.0000, Recall: 0.1093, F1: 0.1970
Epoch 8 Average Loss: 0.5943, Precision: 1.0000, Recall: 0.1159, F1: 0.2077
Epoch 9 Average Loss: 0.5700, Precision: 1.0000, Recall: 0.1501, F1: 0.2610
Epoch 10 Average Loss: 0.5370, Precision: 1.0000, Recall: 0.1435, F1: 0.2510
Epoch 11 Average Loss: 0.4947, Precision: 1.0000, Recall: 0.1722, F1: 0.2938
Epoch 12 Average Loss: 0.4814, Precision: 1.0000, Recall: 0.1832, F1: 0.3097
Epoch 13 Average Loss: 0.4436, Precision: 1.0000, Recall: 0.1987, F1: 0.3315
Epoch 14 Average Loss: 0.4303, Precision: 1.0000, Recall: 0.2064, F1: 0.3422
Epoch 15 Average Loss: 0.4101, Precision: 1.0000, Recall: 0.2152, F1: 0.3542
Epoch 16 Average Loss: 0.4033, Precision: 1.0000, Recall: 0.2185, F1: 0.3587
Epoch 17 Average Loss: 0.3855, Precision: 1.0000, Recall: 0.2428, F1: 0.3908
Epoch 18 Average Loss: 0.3811, Precision: 1.0000, Recall: 0.2307, F1: 0.3749
Epoch 19 Average Loss: 0.3636, Precision: 1.0000, Recall: 0.2307, F1: 0.3749
Epoch 20 Average Loss: 0.3447, Precision: 1.0000, Recall: 0.2373, F1: 0.3836
Epoch 21 Average Loss: 0.3439, Precision: 1.0000, Recall: 0.2528, F1: 0.4035
Epoch 22 Average Loss: 0.3355, Precision: 1.0000, Recall: 0.2517, F1: 0.4021
Epoch 23 Average Loss: 0.3268, Precision: 1.0000, Recall: 0.2494, F1: 0.3993
Epoch 24 Average Loss: 0.3169, Precision: 1.0000, Recall: 0.2472, F1: 0.3965
Epoch 25 Average Loss: 0.3063, Precision: 1.0000, Recall: 0.2572, F1: 0.4091
Epoch 26 Average Loss: 0.3079, Precision: 1.0000, Recall: 0.2605, F1: 0.4133
Epoch 27 Average Loss: 0.2991, Precision: 1.0000, Recall: 0.2804, F1: 0.4379
Epoch 28 Average Loss: 0.2777, Precision: 1.0000, Recall: 0.2947, F1: 0.4552
Epoch 29 Average Loss: 0.2751, Precision: 1.0000, Recall: 0.2991, F1: 0.4605
Epoch 30 Average Loss: 0.2687, Precision: 1.0000, Recall: 0.3002, F1: 0.4618
Epoch 31 Average Loss: 0.2628, Precision: 1.0000, Recall: 0.3091, F1: 0.4722
Epoch 32 Average Loss: 0.2624, Precision: 1.0000, Recall: 0.3102, F1: 0.4735
Epoch 33 Average Loss: 0.2612, Precision: 1.0000, Recall: 0.3278, F1: 0.4938
Epoch 34 Average Loss: 0.2562, Precision: 1.0000, Recall: 0.3146, F1: 0.4786
Epoch 35 Average Loss: 0.2466, Precision: 1.0000, Recall: 0.3068, F1: 0.4696
Epoch 36 Average Loss: 0.2428, Precision: 1.0000, Recall: 0.3234, F1: 0.4887
Epoch 37 Average Loss: 0.2427, Precision: 1.0000, Recall: 0.3201, F1: 0.4849
Epoch 38 Average Loss: 0.2312, Precision: 1.0000, Recall: 0.3411, F1: 0.5086
Epoch 39 Average Loss: 0.2225, Precision: 1.0000, Recall: 0.3565, F1: 0.5256
Epoch 40 Average Loss: 0.2148, Precision: 1.0000, Recall: 0.3422, F1: 0.5099
Epoch 41 Average Loss: 0.2138, Precision: 1.0000, Recall: 0.3455, F1: 0.5135
Epoch 42 Average Loss: 0.2059, Precision: 1.0000, Recall: 0.3631, F1: 0.5328
Epoch 43 Average Loss: 0.2032, Precision: 1.0000, Recall: 0.3687, F1: 0.5387
Epoch 44 Average Loss: 0.2033, Precision: 1.0000, Recall: 0.3664, F1: 0.5363
Epoch 45 Average Loss: 0.1959, Precision: 1.0000, Recall: 0.3753, F1: 0.5457
Epoch 46 Average Loss: 0.1940, Precision: 1.0000, Recall: 0.3720, F1: 0.5422
Epoch 47 Average Loss: 0.1941, Precision: 1.0000, Recall: 0.3687, F1: 0.5387
Epoch 48 Average Loss: 0.1920, Precision: 1.0000, Recall: 0.3675, F1: 0.5375
Epoch 49 Average Loss: 0.1864, Precision: 1.0000, Recall: 0.3411, F1: 0.5086
Epoch 50 Average Loss: 0.1829, Precision: 1.0000, Recall: 0.3543, F1: 0.5232
