Epoch 1 Average Loss: 2.3518, Precision: 1.0000, Recall: 0.0079, F1: 0.0157
Epoch 2 Average Loss: 0.8812, Precision: 1.0000, Recall: 0.0750, F1: 0.1396
Epoch 3 Average Loss: 0.7068, Precision: 1.0000, Recall: 0.1019, F1: 0.1849
Epoch 4 Average Loss: 0.6147, Precision: 1.0000, Recall: 0.1414, F1: 0.2478
Epoch 5 Average Loss: 0.5424, Precision: 1.0000, Recall: 0.1596, F1: 0.2752
Epoch 6 Average Loss: 0.4844, Precision: 1.0000, Recall: 0.1793, F1: 0.3041
Epoch 7 Average Loss: 0.4444, Precision: 1.0000, Recall: 0.1643, F1: 0.2822
Epoch 8 Average Loss: 0.4138, Precision: 1.0000, Recall: 0.1785, F1: 0.3029
Epoch 9 Average Loss: 0.3835, Precision: 1.0000, Recall: 0.2054, F1: 0.3408
Epoch 10 Average Loss: 0.3642, Precision: 1.0000, Recall: 0.2109, F1: 0.3483
Epoch 11 Average Loss: 0.3374, Precision: 1.0000, Recall: 0.2164, F1: 0.3558
Epoch 12 Average Loss: 0.3217, Precision: 1.0000, Recall: 0.2441, F1: 0.3924
Epoch 13 Average Loss: 0.3061, Precision: 1.0000, Recall: 0.2480, F1: 0.3975
Epoch 14 Average Loss: 0.2970, Precision: 1.0000, Recall: 0.2488, F1: 0.3985
Epoch 15 Average Loss: 0.2767, Precision: 1.0000, Recall: 0.2907, F1: 0.4504
Epoch 16 Average Loss: 0.2728, Precision: 1.0000, Recall: 0.2717, F1: 0.4273
Epoch 17 Average Loss: 0.2601, Precision: 1.0000, Recall: 0.2867, F1: 0.4457
Epoch 18 Average Loss: 0.2543, Precision: 1.0000, Recall: 0.2891, F1: 0.4485
Epoch 19 Average Loss: 0.2461, Precision: 1.0000, Recall: 0.2891, F1: 0.4485
Epoch 20 Average Loss: 0.2422, Precision: 1.0000, Recall: 0.3041, F1: 0.4664
Epoch 21 Average Loss: 0.2293, Precision: 1.0000, Recall: 0.3420, F1: 0.5097
Epoch 22 Average Loss: 0.2170, Precision: 1.0000, Recall: 0.3373, F1: 0.5044
Epoch 23 Average Loss: 0.2150, Precision: 1.0000, Recall: 0.3586, F1: 0.5279
Epoch 24 Average Loss: 0.2109, Precision: 1.0000, Recall: 0.3491, F1: 0.5176
Epoch 25 Average Loss: 0.2068, Precision: 1.0000, Recall: 0.3665, F1: 0.5364
Epoch 26 Average Loss: 0.1998, Precision: 1.0000, Recall: 0.3902, F1: 0.5614
Epoch 27 Average Loss: 0.2001, Precision: 1.0000, Recall: 0.3791, F1: 0.5498
Epoch 28 Average Loss: 0.1948, Precision: 1.0000, Recall: 0.4036, F1: 0.5751
Epoch 29 Average Loss: 0.1886, Precision: 1.0000, Recall: 0.4052, F1: 0.5767
Epoch 30 Average Loss: 0.1821, Precision: 1.0000, Recall: 0.4171, F1: 0.5886
Epoch 31 Average Loss: 0.1789, Precision: 1.0000, Recall: 0.4068, F1: 0.5783
Epoch 32 Average Loss: 0.1739, Precision: 1.0000, Recall: 0.4076, F1: 0.5791
Epoch 33 Average Loss: 0.1709, Precision: 1.0000, Recall: 0.4115, F1: 0.5831
Epoch 34 Average Loss: 0.1678, Precision: 1.0000, Recall: 0.4060, F1: 0.5775
Epoch 35 Average Loss: 0.1632, Precision: 1.0000, Recall: 0.4194, F1: 0.5910
Epoch 36 Average Loss: 0.1617, Precision: 1.0000, Recall: 0.4550, F1: 0.6254
Epoch 37 Average Loss: 0.1621, Precision: 1.0000, Recall: 0.4510, F1: 0.6217
Epoch 38 Average Loss: 0.1575, Precision: 1.0000, Recall: 0.4360, F1: 0.6073
Epoch 39 Average Loss: 0.1515, Precision: 1.0000, Recall: 0.4542, F1: 0.6247
Epoch 40 Average Loss: 0.1488, Precision: 1.0000, Recall: 0.4447, F1: 0.6156
Epoch 41 Average Loss: 0.1471, Precision: 1.0000, Recall: 0.4550, F1: 0.6254
Epoch 42 Average Loss: 0.1443, Precision: 1.0000, Recall: 0.4408, F1: 0.6118
Epoch 43 Average Loss: 0.1455, Precision: 1.0000, Recall: 0.4439, F1: 0.6149
Epoch 44 Average Loss: 0.1392, Precision: 1.0000, Recall: 0.4305, F1: 0.6019
Epoch 45 Average Loss: 0.1366, Precision: 1.0000, Recall: 0.4818, F1: 0.6503
Epoch 46 Average Loss: 0.1363, Precision: 1.0000, Recall: 0.4502, F1: 0.6209
Epoch 47 Average Loss: 0.1332, Precision: 1.0000, Recall: 0.4629, F1: 0.6328
Epoch 48 Average Loss: 0.1333, Precision: 1.0000, Recall: 0.4605, F1: 0.6306
Epoch 49 Average Loss: 0.1287, Precision: 1.0000, Recall: 0.4684, F1: 0.6380
Epoch 50 Average Loss: 0.1263, Precision: 1.0000, Recall: 0.4921, F1: 0.6596
