Epoch 1 Average Loss: 2.4409, Precision: 1.0000, Recall: 0.0215, F1: 0.0420
Epoch 2 Average Loss: 0.9299, Precision: 1.0000, Recall: 0.0941, F1: 0.1720
Epoch 3 Average Loss: 0.7361, Precision: 1.0000, Recall: 0.1302, F1: 0.2303
Epoch 4 Average Loss: 0.6312, Precision: 1.0000, Recall: 0.1585, F1: 0.2736
Epoch 5 Average Loss: 0.5684, Precision: 1.0000, Recall: 0.1714, F1: 0.2927
Epoch 6 Average Loss: 0.5178, Precision: 1.0000, Recall: 0.1921, F1: 0.3223
Epoch 7 Average Loss: 0.4813, Precision: 1.0000, Recall: 0.2168, F1: 0.3564
Epoch 8 Average Loss: 0.4496, Precision: 1.0000, Recall: 0.2168, F1: 0.3564
Epoch 9 Average Loss: 0.4252, Precision: 1.0000, Recall: 0.2237, F1: 0.3656
Epoch 10 Average Loss: 0.3956, Precision: 1.0000, Recall: 0.2435, F1: 0.3917
Epoch 11 Average Loss: 0.3758, Precision: 1.0000, Recall: 0.2611, F1: 0.4141
Epoch 12 Average Loss: 0.3598, Precision: 1.0000, Recall: 0.2799, F1: 0.4373
Epoch 13 Average Loss: 0.3481, Precision: 1.0000, Recall: 0.2829, F1: 0.4410
Epoch 14 Average Loss: 0.3348, Precision: 1.0000, Recall: 0.2933, F1: 0.4536
Epoch 15 Average Loss: 0.3234, Precision: 1.0000, Recall: 0.3118, F1: 0.4754
Epoch 16 Average Loss: 0.3181, Precision: 1.0000, Recall: 0.3154, F1: 0.4795
Epoch 17 Average Loss: 0.3119, Precision: 1.0000, Recall: 0.3165, F1: 0.4808
Epoch 18 Average Loss: 0.3005, Precision: 1.0000, Recall: 0.3346, F1: 0.5014
Epoch 19 Average Loss: 0.2934, Precision: 1.0000, Recall: 0.3354, F1: 0.5024
Epoch 20 Average Loss: 0.2902, Precision: 1.0000, Recall: 0.3393, F1: 0.5067
Epoch 21 Average Loss: 0.2862, Precision: 1.0000, Recall: 0.3445, F1: 0.5125
Epoch 22 Average Loss: 0.2782, Precision: 1.0000, Recall: 0.3528, F1: 0.5216
Epoch 23 Average Loss: 0.2740, Precision: 1.0000, Recall: 0.3542, F1: 0.5231
Epoch 24 Average Loss: 0.2653, Precision: 1.0000, Recall: 0.3704, F1: 0.5406
Epoch 25 Average Loss: 0.2607, Precision: 1.0000, Recall: 0.3632, F1: 0.5329
Epoch 26 Average Loss: 0.2538, Precision: 1.0000, Recall: 0.3792, F1: 0.5499
Epoch 27 Average Loss: 0.2507, Precision: 1.0000, Recall: 0.3786, F1: 0.5493
Epoch 28 Average Loss: 0.2452, Precision: 1.0000, Recall: 0.3930, F1: 0.5642
Epoch 29 Average Loss: 0.2407, Precision: 1.0000, Recall: 0.4009, F1: 0.5724
Epoch 30 Average Loss: 0.2411, Precision: 1.0000, Recall: 0.3888, F1: 0.5599
Epoch 31 Average Loss: 0.2372, Precision: 1.0000, Recall: 0.4018, F1: 0.5732
Epoch 32 Average Loss: 0.2343, Precision: 1.0000, Recall: 0.4059, F1: 0.5774
Epoch 33 Average Loss: 0.2291, Precision: 1.0000, Recall: 0.4092, F1: 0.5807
Epoch 34 Average Loss: 0.2271, Precision: 1.0000, Recall: 0.4147, F1: 0.5863
Epoch 35 Average Loss: 0.2246, Precision: 1.0000, Recall: 0.4254, F1: 0.5969
Epoch 36 Average Loss: 0.2209, Precision: 1.0000, Recall: 0.4232, F1: 0.5947
Epoch 37 Average Loss: 0.2188, Precision: 1.0000, Recall: 0.4232, F1: 0.5947
Epoch 38 Average Loss: 0.2205, Precision: 1.0000, Recall: 0.4241, F1: 0.5956
Epoch 39 Average Loss: 0.2150, Precision: 1.0000, Recall: 0.4260, F1: 0.5975
Epoch 40 Average Loss: 0.2088, Precision: 1.0000, Recall: 0.4342, F1: 0.6055
Epoch 41 Average Loss: 0.2074, Precision: 1.0000, Recall: 0.4406, F1: 0.6117
Epoch 42 Average Loss: 0.2032, Precision: 1.0000, Recall: 0.4510, F1: 0.6217
Epoch 43 Average Loss: 0.2053, Precision: 1.0000, Recall: 0.4384, F1: 0.6095
Epoch 44 Average Loss: 0.2016, Precision: 1.0000, Recall: 0.4450, F1: 0.6159
Epoch 45 Average Loss: 0.1959, Precision: 1.0000, Recall: 0.4480, F1: 0.6188
Epoch 46 Average Loss: 0.2002, Precision: 1.0000, Recall: 0.4439, F1: 0.6148
Epoch 47 Average Loss: 0.1931, Precision: 1.0000, Recall: 0.4598, F1: 0.6300
Epoch 48 Average Loss: 0.1895, Precision: 1.0000, Recall: 0.4700, F1: 0.6395
Epoch 49 Average Loss: 0.1867, Precision: 1.0000, Recall: 0.4692, F1: 0.6387
Epoch 50 Average Loss: 0.1884, Precision: 1.0000, Recall: 0.4653, F1: 0.6351
